no,judul,link,konten,tanggal
21,6 Hal tentang Mobil Dinas Mewah Vladimir Putin,https://oto.detik.com/profil/d-4012088/6-hal-tentang-mobil-dinas-mewah-vladimir-putin,"Presiden Rusia Vladimir Putin memperoleh mobil dinas baru yang modelnya sebuah limosin namun dengan wajah mirip mobil Rolls-Royce. Mobil itu pertama kali muncul dalam acara pelantikan Putin sebagai Presiden di Moskow, Rusia.
Mobil itu membuat kagum beberapa tamu undangan yang menghadiri pelantikan Senin (7/5/2018). Mereka bertepuk tangan saat konvoi mobil Putin dan para pengawalnya tiba untuk pelantikan.
",2018-06-04
22,Pendidikan Keluarga Penting Kurangi Anak di Bawah Umur Naik Motor,https://oto.detik.com/motor/d-4050957/pendidikan-keluarga-penting-kurangi-anak-di-bawah-umur-naik-motor,"Makin hari semakin banyak saja para pengendara sepeda motor dibawah usia tujuh belas tahun. Selain belum memiliki Surat Izin Mengemudi (SIM), rata-rata pengendara ini tidak menggunakan perlengkapan lengkap berkendara dan asal-asalan saat di jalanan. Tidak sedikit pula yang sudah mengalami kecelakaan namun tidak kapok-kapok. 
Menanggapi fenomena tersebut, Motor Besar Indonesia (MBI) juga ikut berkomentar. Lewat Presidennya, Rio Castello menuturkan bahwa ada banyak faktor mengapa pengendara di bawah umur terus berkembang, salah satunya adalah lepasnya edukasi dari keluarga. Padahal inilah yang menjadi tonggak utama dalam membentuk pribadi seorang anak.",2018-06-04
23,"BMW Fokus ke Kendaraan Listrik, X2 Belum",https://oto.detik.com/event/d-4015033/bmw-fokus-ke-kendaraan-listrik-x2-belum?_ga=2.127782089.598447672.1528082294-1839232036.1528082294,"Beberapa produsen otomotif tanah air sudah bersiap-siap untuk ramaikan salah satu pameran otomotif terbesar yaitu Gaikindo Indonesia International Auto Show (GIIAS) 2018. Mobil besutan Jerman seperti BMW juga akan turun ke helatan yang akan dilaksanakan pada 2-12 Agustus 2018 ini. Namun ada hal menarik yang akan dilakukan BMW Group Indonesia, mereka akan fokus ke kendaraan listrik.
Hal itu diungkapkan langsung oleh Vice President Corporate Communications BMW Group Indonesia, Jodie O'tania ketika berbincang bersama beberapa wartawan. Ketika disinggung akan mengeluarkan roda empat varian all-wheel-drive bongsor atau Seri X apa lagi di GIIAS 2018, ia mengatakan akan fokus ke kendaraan rendah emisi di sana. Jadi untuk model X terbaru seperti X2, BMW belum berpikiran.",2018-06-04
24,BMW Akan Sediakan Stasiun Pengisian Baterai Mobil Listrik,https://oto.detik.com/mobil/d-4025285/bmw-akan-sediakan-stasiun-pengisian-baterai-mobil-listrik?_ga=2.127782089.598447672.1528082294-1839232036.1528082294,"Surat Komisi Pemberantasan Korupsi (KPK) untuk Presiden Republik Indonesia agar segera merealisasikan payung hukum kendaraan listrik bersama dengan insentifnya ditanggapi baik oleh Perusahaan Listrik Negara (PLN). Berbincang kepada detikOto, PLN mengklaim sudah siap untuk menyebar Stasiun Pengisian Listrik Umum atau SPLU di berbagai tempat. 
Bukan hanya PLN saja yang bergairah, pabrikan otomotif yang juga digandeng oleh PLN, BMW Group Indonesia tampak antusias. Bahkan produsen asal Jerman tersebut akan membangun SPLU berkualitas bersama PLN nantinya.",2018-06-04
25,Mau Beli Motor untuk Mudik Lebaran? Perhatikan Fiturnya,https://oto.detik.com/motor/d-4051858/mau-beli-motor-untuk-mudik-lebaran-perhatikan-fiturnya,"Merayakan Hari Lebaran bersama keluarga di kampung halaman sudah menjadi tradisi masyarakat Indonesia. Bagi yang tinggal berbeda kota dengan orang tua, tentu harus mempersiapkan diri untuk mudik.
Agar Hari Lebaran makin seru, mudiklah dengan mengendarai motor baru. Namun pastikan motor yang ingin dibeli punya banyak fitur unggulan. 
Melihat kebiasaan masyarakat Indonesia yang banyak mudik mengendarai motor, Yamaha Indonesia Motor Manufacturing (YIMM) menghadirkan Lexi. Maxi scooter terbaru yang sering disebut adiknya Yamaha Nmax ini bisa jadi pilihan karena menawarkan beberapa fitur unggulan.",2018-06-04
26,"Mudik Naik Motor Sah-sah Saja, Asal Tetap Utamakan Keselamatan",https://oto.detik.com/motor/d-4050805/mudik-naik-motor-sah-sah-saja-asal-tetap-utamakan-keselamatan,"Motor Besar Indonesia (MBI) selaku wadah besar bagi pengguna moge di Tanah Air tidak menampik bahwa masih banyak pengendara sepeda motor yang memaksakan diri untuk membawa kendaraannya saat mudik. Mereka pun tidak mempermasalahkan hal tersebut, hanya saja jangan lupakan keselamatan bersama. Dalam artian, jangan sampai mengangkut orang atau barang yang berlebihan.
Hal tersebut dikatakan Presiden MBI Rio Castello saat berbincang kepada wartawan. Menurutnya, mudik menggunakan sepeda motor sah-sah saja karena tiap orang memiliki kemampuannya masing-masing. Tetapi jangan pernah melupakan keamanan berkendara. ",2018-06-04
27,New Toyota Corolla Hatchback Gendong Mesin 1.2 L Turbo,https://oto.detik.com/mobil/d-4050098/new-toyota-corolla-hatchback-gendong-mesin-12-l-turbo,"Kabar gembira buat pencinta Corolla Hatchback nih otolovers, mobil Corolla tanpa buntut ini tengah diuji Fuki Speedway Jepang. Artiya rencana untuk bisa memperkenalkan mobil ini pada 26 Juni besok masih sesuai rencana.
Namun yang menjadi sorotan kali ini ialah New Corolla Hatchback dikatakan akan menggendong mesin 1.2 Liter Turbo, seperti dikutip autoevolution, Sabtu (6/2/2018).
Mesin yang digendong New Corolla Hatchback ini dikatakan akan menggendong mesin 2 ZR-FXE. Artinya besar kemungkinan mesin 1.8 liter hybrid milik C-HR yang dikawinkan dengan CVT dan sistem 2WD bisa menjadi pilihannya.",2018-06-04
28,"Daihatsu Belum Ingin Produksi Sirion di Indonesia, Ini Alasannya",https://oto.detik.com/mobil/d-4050020/daihatsu-belum-ingin-produksi-sirion-di-indonesia-ini-alasannya,"Mobil khusus perkotaan dari Daihatsu yang sudah diperkenalkan sejak 2007 lalu, Daihatsu Sirion masih belum direncanakan untuk diproduksi di Indonesia. PT Astra Daihatsu Motor (ADM) selaku Agen Pemegang Merek (APM) Daihatsu di Indonesia mengungkapkan hal tersebut dikarenakan volume pasar yang ditempati oleh Sirion masih belum mencukupi.
Demi efisiensi bisnis, pihak ADM memutuskan bahwa status impor secara utuh (CBU) untuk Daihatsu Sirion adalah yang terbaik. Namun kalau pasar di Indonesia meningkat dan melebihi negara importirnya, Malaysia, bisa jadi Sirion dilokalisasi.",2018-06-04
29,Mobil Batman Hingga Fast&Furious Ada di Museum Lamborghini,https://oto.detik.com/mobil/d-4049806/mobil-batman-hingga-fastfurious-ada-di-museum-lamborghini,"Bagi Otolovers yang menggilai mobil super asal Italia Lamborghini, jika ada kesempatan disarankan untuk melihat langsung museum Lamborghini di Sant'Agata Bolognese dalam waktu dekat. Karena museum ini menampilkan berbagai mobil terbaik Lamborghini dari masa ke masa.
Nah kali ini, museum yang menjadi tempat untuk melihat sejarahnya Lamborghini ini menawarkan sesuatu yang baru. Yakni memperlihatkan peran Lamborghini dalam berbagai film layar lebar terbaik selama 47 tahun terakhir. Seperti dikutip carscoops, Sabtu (2/6/2018).
Dikatakan pameran ini akan dibuka setiap hari mulai pukul 9.30 pagi hingga 19.00 malam waktu Bologna. Pameran mobil ini akan berlangsung hingga 31 Oktober 2018.",2018-06-04
30,"Daihatsu Copen Masih Bisa Dipesan, Mau?",https://oto.detik.com/mobil/d-4049720/daihatsu-copen-masih-bisa-dipesan-mau,"Daihatsu sudah terkenal sebagai pemain terbesar mobil kecil atau kompak di rumahnya sendiri, Jepang. Oleh sebab itu, beberapa tahun belakangan pihak PT Astra Daihatsu Motor (ADM) memperkenalkan salah satu sedan kecil yang unik di Indonesia, yakni si Imut Daihatsu Copen.
Disebut sebagai adiknya Ayla, mobil dua penumpang beratap terbuka (roadster) ini ternyata masih bisa dipesan loh, Otolovers.
Dikatakan oleh Rudy Ardiman, Corporate Planning & Communication Division Head PT Astra Daihatsu Motor (ADM), meskipun secara wholesales (dari pabrik ke diler) Daihatsu Copen sampai sekarang belum ada angkanya, mobil yang dibawa secara utuh dari Jepang ini masih dijual. Indennya, cukup tiga bulan saja.",2018-06-04
